Page of the document;text
31;It's important to assess what aspects of your system could leak information about your model's architecture (eg, its required input shape) and weights to an adversary. An example of this is using a web-based front end to resize images to the input size of the model. This is likely to include pre-processing or model output processing steps. Ensure these and your model are appropriately protected for your security requirements.
31;Unless further detail is needed by another process or the end user, the model should be limited to providing the required output or prediction. This limits the potential of adversarial attacks by obscuring accuracy scores and weights, etc. (Teams should be aware that certain adversarial techniques allow forms of model inference or evasion based only on the model output, although this is technically more challenging for an adversary.)
31;You may still want to consider access controls here (eg, role-based access control), enabling different levels of insight depending on user authorisation.
31;How you protect access to hardware and software will depend on your deployment infrastructure. It's important to follow the guidance relevant to your specific infrastructure.
31;Make sure you have the right expertise for protecting the parts of your deployment infrastructure and your team understands which parts of the system need to be protected or hidden from adversaries.
32;Monitor and log your users' inference requests/queries, implementing an alert system for anomalous behaviour if required.
32;Understanding how users are querying your model and flagging unusual behaviour for investigation can help you identify and prevent attacks.
32;Many attacks, including model inversion, membership inference and denial of service, are conducted by querying a model repeatedly, often at a much faster rate than a typical user. Repeated querying is also used in the creation of adversarial examples to be used in model evasion attacks.
32;Collecting and monitoring information representing both the content of queries and their metadata (for example, frequency and patterns querying) can help identify anomalous activity. You should understand what expected inputs to your model look like and use that information to spot unusual inputs that may be worth investigating further. In the event of an attack or accidental system failure, accurate logs of user activity provide a basis for a post-attack investigation.
33;Follow appropriate guidance when applying logging and auditing of logs.
33;Consider automated monitoring of user activity and logs. Understanding how suspicious behaviour might look different to expected behaviour in event logs is the foundation here.
33;The criteria for 'suspicious' behaviour will be different for each system and you should use your understanding of your system and its intended use, to develop the criteria. This should be clear from the start of the development process and include an understanding of the expected input space.
33;Flagged behaviour should be retained for audit and reviewed regularly for evidence of suspicious behaviour.
33;The actions your system takes in response to detecting unusual behaviour will vary. Common responses may include: limiting (throttling) the rate of queries that can be sent to your model and implementing appropriate pre-processing, to heighten the threshold for an adversarial user developing an opaque box attack.
33;When an alert has been raised or an investigation has concluded that a cyber security incident has occurred, report to the relevant stakeholders and authorities.
33;Use humans in the loop to investigate what automated processes flag as unusual.
33;If user behaviour has been flagged as suspicious, or during routine audits, humans should be reviewing user behaviour and the system response to this behaviour. As part of this process, the reviewer should decide whether the user interaction was malicious or not and whether the system/model response was expected and/or correct. To be able to draw conclusions, the reviewer must have a good understanding of the system requirements and architecture.
33;When the review contains personal or sensitive data, the correct guidelines and security procedures must be followed for handling and viewing data.
34;Understand the trade-off between security during operation and the output a model provides to users.
34;During operation, providing users with visibility of a model's output can allow for quick diagnosis that a system is behaving unexpectedly. This won't always be required or even possible, but in many situations it can be beneficial, especially when the negative impact is significant.
34;The creation of many attacks on ML models relies however on the same information: a model's output for a given input. If an attacker receives a more detailed output, it can make a successful attack more likely. It's therefore desirable to find a balance between protecting key information, while still allowing for 'sanity checking'.
34;A suitable balance between transparency and security will depend on the specific system application. It's likely that your system will have different classes of user – such as a normal user querying the system, an engineer servicing the system and a system admin diagnosing errors. Each user requires a different level of detail about the model's behaviour and model outputs should be tailored appropriately. This can be seen as a type of role-based access control.
